iter	Passed	Remaining
894	1442	169
895	1443	167
896	1444	165
897	1445	164
898	1447	162
899	1448	160
900	1448	159
901	1449	157
902	1450	155
903	1451	154
904	1452	152
905	1453	150
906	1454	149
907	1455	147
908	1456	145
909	1457	144
910	1458	142
911	1461	141
912	1462	139
913	1463	137
914	1464	136
915	1465	134
916	1466	132
917	1467	131
918	1468	129
919	1469	127
920	1470	126
921	1471	124
922	1472	122
923	1473	121
924	1476	119
925	1477	118
926	1478	116
927	1479	114
928	1480	113
929	1481	111
930	1482	109
931	1483	108
932	1484	106
933	1485	104
934	1486	103
935	1487	101
936	1488	100
937	1488	98
938	1489	96
939	1491	95
940	1492	93
941	1493	91
942	1494	90
943	1495	88
944	1496	87
945	1497	85
946	1498	83
947	1499	82
948	1500	80
949	1503	79
950	1504	77
951	1505	75
952	1506	74
953	1507	72
954	1508	71
955	1509	69
956	1510	67
957	1511	66
958	1512	64
959	1513	63
960	1514	61
961	1515	59
962	1516	58
963	1517	56
964	1521	55
965	1522	53
966	1523	51
967	1524	50
968	1525	48
969	1526	47
970	1527	45
971	1529	44
972	1530	42
973	1531	40
974	1532	39
975	1534	37
976	1535	36
977	1536	34
978	1538	33
979	1540	31
980	1542	29
981	1543	28
982	1544	26
983	1545	25
984	1545	23
985	1546	21
986	1547	20
987	1550	18
988	1551	17
989	1552	15
990	1553	14
991	1554	12
992	1555	10
993	1556	9
994	1557	7
995	1557	6
996	1558	4
997	1559	3
998	1560	1
999	1561	0
